  step          time          temperature          energy_tot          energy_kin          energy_pot
 441           220.50             337.82          -149.918173            0.009628         -149.927801
 442           221.00             280.61          -149.918122            0.007998         -149.926120
 443           221.50             241.91          -149.918076            0.006895         -149.924971
 444           222.00             231.48          -149.918052            0.006597         -149.924650
 445           222.50             244.59          -149.918055            0.006971         -149.925027
 446           223.00             265.65          -149.918076            0.007571         -149.925647
 447           223.50             276.12          -149.918089            0.007870         -149.925959
 448           224.00             264.77          -149.918067            0.007546         -149.925613
 449           224.50             236.13          -149.917998            0.006730         -149.924728
 450           225.00             211.20          -149.917904            0.006019         -149.923924
 451           225.50             215.61          -149.917841            0.006145         -149.923986
 452           226.00             259.71          -149.917854            0.007402         -149.925256
 453           226.50             326.95          -149.917934            0.009319         -149.927253
 454           227.00             383.57          -149.918031            0.010932         -149.928963
 455           227.50             401.56          -149.918092            0.011445         -149.929537
 456           228.00             374.94          -149.918098            0.010686         -149.928784
 457           228.50             319.65          -149.918058            0.009110         -149.927168
 458           229.00             261.98          -149.917996            0.007467         -149.925463
 459           229.50             225.12          -149.917940            0.006416         -149.924357
 460           230.00             219.91          -149.917911            0.006268         -149.924178
 461           230.50             241.66          -149.917916            0.006888         -149.924803
 462           231.00             272.99          -149.917946            0.007781         -149.925727
 463           231.50             292.08          -149.917974            0.008325         -149.926298
 464           232.00             284.52          -149.917964            0.008109         -149.926073
 465           232.50             254.12          -149.917898            0.007243         -149.925141
 466           233.00             224.53          -149.917802            0.006399         -149.924202
 467           233.50             225.64          -149.917739            0.006431         -149.924170
 468           234.00             270.29          -149.917760            0.007704         -149.925463
 469           234.50             340.43          -149.917855            0.009703         -149.927558
 470           235.00             398.17          -149.917964            0.011348         -149.929313
 471           235.50             412.20          -149.918030            0.011748         -149.929778
 472           236.00             376.65          -149.918030            0.010735         -149.928765
 473           236.50             310.71          -149.917977            0.008856         -149.926833
 474           237.00             244.84          -149.917901            0.006978         -149.924879
 475           237.50             205.28          -149.917833            0.005851         -149.923684
 476           238.00             203.78          -149.917798            0.005808         -149.923606
 477           238.50             234.43          -149.917805            0.006682         -149.924487
 478           239.00             277.06          -149.917843            0.007896         -149.925740
 479           239.50             306.48          -149.917883            0.008735         -149.926618
 480           240.00             305.52          -149.917887            0.008708         -149.926594
 481           240.50             276.38          -149.917833            0.007877         -149.925710
 482           241.00             242.45          -149.917745            0.006910         -149.924655
 483           241.50             234.55          -149.917682            0.006685         -149.924367
 484           242.00             267.95          -149.917694            0.007637         -149.925331
 485           242.50             328.20          -149.917778            0.009354         -149.927132
 486           243.00             380.32          -149.917878            0.010840         -149.928718
 487           243.50             393.57          -149.917938            0.011217         -149.929155
 488           244.00             360.49          -149.917934            0.010274         -149.928209
 489           244.50             298.31          -149.917877            0.008502         -149.926379
 490           245.00             236.60          -149.917796            0.006743         -149.924540
 491           245.50             201.73          -149.917726            0.005749         -149.923476
 492           246.00             205.71          -149.917693            0.005863         -149.923556
 493           246.50             242.18          -149.917706            0.006902         -149.924608
 494           247.00             289.76          -149.917752            0.008258         -149.926011
 495           247.50             322.28          -149.917800            0.009185         -149.926985
